FID,the_geom,ECF_Code,ECF_Name,Status,Type,Beds_Open,Beds_Plan,Plan_Open,Partner,Lead_Donor,Latitude,Longitude,Accuracy,Comment,LabPresent,DSTR_NM,ADM1_CODE,Updated
lbr_heal_pt_unmeer_ebolacarefacilities.11,POINT (-10.773249999999962 6.287230000000079),LBR_0012,JFK hospital,Closed,ETU,0,0,,MoH/WHO,,6.28723,-10.77325,WFP - GPS,,No,Montserrado,LBR30,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.12,POINT (-10.700455938999937 6.256756063000125),LBR_0021,SKD 1,Under Construction,ETU,0,50,2014-12-15T00:00:00,IRC,,6.25675606,-10.70045594,WFP - GPS,,No,Montserrado,LBR30,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.13,POINT (-10.700525704999961 6.257445946000075),LBR_0022,SKD 2,Open,ETU,50,50,2014-12-22T00:00:00,German RC/German Armed Forces,,6.25744595,-10.7005257,WFP - GPS,"Construction complete, open date TBC",No,Montserrado,LBR30,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.14,POINT (-10.731190999999853 6.268152000000043),LBR_0017,Congo Town 2 (old MoD 2),Closed,ETU,0,0,,MBS Sweden,,6.268152,-10.731191,WFP - GPS,Training Site,No,Montserrado,LBR30,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.15,POINT (-10.342221360999929 6.53993904400005),LBR_0014,Kakata II,Closed,ETU,0,0,2014-12-02T00:00:00,,,6.53993904,-10.34222136,WFP - GPS,On hold,No,Margibi,LBR24,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.16,POINT (-11.364704647999929 6.752012309999998),LBR_0024,Robertsport,Closed,ETU,0,0,,,,6.75201231,-11.36470465,WFP - GPS,,No,Grand Cape Mount,LBR12,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.17,POINT (-8.977700000000027 7.235110000000134),LBR_0048,Ganta,Under Construction,ETU,0,10,2014-12-13T00:00:00,Nimba CHT / PCI,,7.2375,-8.9814,WHO provided,,No,Nimba,LBR33,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.18,POINT (-10.700279999999964 6.244439994000118),LBR_0019,ELWA 3,Open,ETU,60,60,2014-11-04T00:00:00,MSF Brussels,,6.24443999,-10.70028,WFP - GPS,,No,Montserrado,LBR30,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.19,POINT (-10.695999998999923 6.239650002000076),LBR_0018,ELWA 2,Open,ETU,100,100,2014-11-04T00:00:00,MoH/WHO,,6.23965,-10.696,WFP - GPS,Due for closure for renovation,No,Montserrado,LBR30,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.20,POINT (-10.703363224695579 6.258009053209321),LBR_0110,SKD 3 - Chinese,Open,ETU,100,100,2014-12-02T00:00:00,Chinese FMT,,6.25800905,-10.70336322,MGRS Coordinate Provided by US DoD,"Position Provided by US DoD. Apparently Called ""SKD 2""",No,Montserrado,LBR30,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.21,POINT (-10.469719989999874 6.353059977000157),LBR_0005,Firestone,Open,ETU,31,31,2014-12-09T00:00:00,Firestone,,6.35305998,-10.46971999,British Red Cross - GPS,"WFP provided different position of  6.269344, -10.346535 needs checking",No,Margibi,LBR24,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.22,POINT (-10.820409883999957 6.868750729000169),LBR_0027,Tubmanburg,Open,ETU,100,100,2014-12-09T00:00:00,IOM,,6.86875073,-10.82040988,WFP - GPS,,No,Bomi,LBR03,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.23,POINT (-10.792832569999916 6.389035218000004),LBR_0023,Unity Conference Centre,Open,ETU,50,50,2014-12-09T00:00:00,MoH,,6.38903522,-10.79283257,WFP - GPS,Due to close for renovations,No,Montserrado,LBR30,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.24,POINT (-9.55514399999987 7.004669000000035),LBR_0009,Suakoko / Gbarnga,Open,ETU,71,71,2014-12-09T00:00:00,IMC,,7.004669,-9.555144,British Red Cross - GPS,Known as Gbarnga or Suakoko in different documents,No,Bong,LBR06,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.25,POINT (-10.787113499999919 6.384371600000179),LBR_0020,Island Clinic,Open,ETU,150,150,2014-12-09T00:00:00,MoH/WHO/AU,,6.3843716,-10.7871135,WFP - GPS,Due to close for renovations,No,Montserrado,LBR30,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.26,POINT (-10.801388999999972 6.313333000000171),LBR_0015,Monrovia Medical Unit,Open,ETU,22,22,2014-12-09T00:00:00,USPHS,,6.313333,-10.801389,Needs location verified,,No,Montserrado,LBR30,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.27,POINT (-10.205756652999867 8.37891129600007),LBR_0007,Foya,Closed,ETU,20,20,2014-11-05T00:00:00,MSF,,8.3789113,-10.20575665,British Red Cross - GPS,Closed due to no new cases in Lofa County.,No,Lofa,LBR21,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.28,POINT (-10.734170003999964 6.27027999500018),LBR_0016,Congo Town 1 (old MoD),Open,ETU,40,40,2014-12-02T00:00:00,AU/Cuban FMT/MoH,,6.27028,-10.73417,British Red Cross - GPS,,No,Montserrado,LBR30,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.29,POINT (-10.360384231999944 6.527523558000041),LBR_0013,Kakata 1,Open,ETU,50,50,2014-12-02T00:00:00,IMC,,6.52752356,-10.36038423,WFP - GPS,Location and status confirmed by WFP field team,No,Margibi,LBR24,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.30,POINT (-8.981322865999914 7.237326592000045),LBR_0008,Ganta United Methodist Hospital,Open,ETU,36,36,2014-12-18T00:00:00,Methodist Church / PCI,,7.23732659,-8.98132287,WFP - GPS,Location and status confirmed by WFP field team,No,Nimba,LBR33,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.31,POINT (-9.648000000000025 5.687000000000069),LBR_0116,Gbediah Town,Under Construction,ETU,0,50,2014-12-25T00:00:00,PAE/Aspen,,5.483,-9.588,WHO,Opening date TBC,No,Rivercess,LBR36,2014-12-15T00:00:00
lbr_heal_pt_unmeer_ebolacarefacilities.32,POINT (-9.428165700000022 7.778799499999991),LBR_0119,Zorzor,Planned,ETU,0,50,2014-12-19T00:00:00,PAE / Aspend,,7.776,-9.423,OSM settlement,Needs Checking,No,Lofa,LBR21,2014-12-15T00:00:00
