FID,the_geom,OBJECTID,ECF_Code,ECF_Name,Status,Type,AdminCode,Beds_Open,Beds_Plan,Open_Date,Partner,Lead_Donor,Latitude,Longitude,Accuracy,Updated,LabPresent,Country,Comment
sle_heal_pt_unmeer_ebolacarefacilities.11,POINT (-10.958743 8.630038),0,SLE_0014,Dorma ETU - Koidu Town,Open,ETU,#N/A,25,48,2015-01-15T00:00:00,Well Body/ PIH,IFRC,8.630038,-10.958743,UNMEER Checked coordinate,2015-03-03T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.12,POINT (-11.6697 7.94104),0,SLE_0015,Bo Town MSF,Open,ETU,#N/A,104,104,2014-09-01T00:00:00,CDC,CDC,7.94104,-11.6697,UNMEER Checked coordinate,2015-02-24T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.13,POINT (-12.03104834 8.7985682),0,SLE_0009,Makeni TU,Open,ETU,SLE02010203,100,100,2014-12-08T00:00:00,IMC/PHE,DFID,8.7985682,-12.03104834,UNMEER Checked coordinate,2015-03-03T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.14,POINT (-13.12585093 8.382704501),0,SLE_0022,Police Training Sch-Hastings 2,Open,ETU,SLE04010303,50,200,2014-12-19T00:00:00,MOH/RSLAF,GOSL,8.3827045,-13.12585093,WAERC Confirmed Coordinates,2015-02-26T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.15,POINT (-12.7724 8.74984),0,SLE_0023,Maforki ETU,Open,ETU,SLE02011109,44,44,2014-11-05T00:00:00,MoH / Plan,GOSL,8.74984,-12.7724,CDC Checked Coordinate,2015-02-23T00:00:00,No,Sierra Leone,"Facility is both ETC & EHU. Bed Capacity includes 16 Suspect, 16 Probable and 20 EVD Confirmed"
sle_heal_pt_unmeer_ebolacarefacilities.16,POINT (-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000),0,SLE_0020,Magbenteh Hospital,Closed,ETU,SLE02010202,110,110,2014-11-15T00:00:00,MoH/Addax/AU/WHO,GOSL,0,0,,2015-02-18T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.17,POINT (-13.261242 8.464217),0,SLE_0109,34 Military Hospital,Open,ETU,SLE04020810,10,30,2014-12-01T00:00:00,British Medical Team,MOD/RSLAF,8.464217,-13.261242,WAERC Confirmed Coordinates,2014-12-01T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.18,POINT (-11.92354 8.73617),0,SLE_0110,Magbankor MSF ETU,Open,ETU,#N/A,50,50,2014-12-15T00:00:00,MSF/OCNML,MSF,8.73617,-11.92354,,2015-02-24T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.19,POINT (-179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000),0,SLE_0146,MSF POW School (ETU),Closed,ETU,#N/A,44,44,2014-12-15T00:00:00,MSF/EU,,0,0,UNMEER Checked coordinate,2015-02-26T00:00:00,Yes,Sierra Leone,
sle_heal_pt_unmeer_ebolacarefacilities.20,POINT (-13.07302 8.334213),0,SLE_0147,ADRA,Open,ETU,#N/A,10,62,2014-12-14T00:00:00,Cuban Medical Brigade,MoHS,8.334213,-13.07302,,2015-02-03T00:00:00,No,Sierra Leone,Coordinates are approximate
